A,B,C,D,E,F
17,67.22,3,11.29,62.098,34.4215
21,87.3,19,251.24,-34.9053,-46.3208
20,82.31,11,131.47,-38.5844,-57.2036
34,152.25,21,281.17,-13.5688,-8.4787
34,152.27,1,-18.46,107.218,28.7289
27,117.45,38,536.47,-82.9038,-55.9192
26,112.38,34,476.43,0.981627,0.190809
34,152.1,11,131.02,79.4236,27.3477
18,72.15,2,-3.84,19.2947,67.2883
38,172.41,1,-18.44,44.2342,30.9731
32,142.38,8,86.39,-79.4578,-55.6369
31,137.27,13,161.23,-23.7045,-3.75442
14,52.47,28,386.54,4.59242,5.28296
11,37.42,22,296.31,5.99372,14.8349
5,7.51,29,401.43,-74.2701,-10.438
18,72.54,36,506.23,10.898,15.5639
18,72.2,22,296.48,-17.4896,-7.42389
18,72.24,0,-33.45,-15.343,-31.4578
2,-7.47,16,206.41,-3.90732,-9.20504
9,27.44,38,536.08,-41.4985,-22.0651
6,12.08,33,461,-10.8646,-1.72078
35,157.44,39,551.34,-19.1459,-45.1047
35,157.46,0,-33.56,36.0041,30.211
6,12.26,21,281.31,50.5145,40.9058
26,112.04,31,431.33,-31,-53.6936
31,137.01,28,386.41,91.13,38.6824
1,-12.69,17,221.49,30.2055,6.97348
25,107.55,9,101.02,-54.8516,-51.1498
10,32,9,101.2,28.5,49.3634
7,17.12,22,296.16,-29.1607,-62.5352
36,162,16,206.53,11.9571,14.7658
6,12.17,10,116.21,-38.6279,-64.2875
4,2.47,12,146.11,-14.3394,-20.4788
34,152.34,13,162.21,-31.5204,-24.6264
19,77.17,18,236.1,-44.4091,-20.7083
13,47.56,25,341.38,22.9621,26.4148
37,167.39,17,221.37,17.8658,2.19365
14,52.19,4,26.15,-6.71032,-9.94845
8,22.52,28,386.11,-12.0451,-17.2022
9,27.35,20,266.24,-34.0383,-35.2476
29,127.13,22,296.23,-10.4418,-20.4931
31,137.44,12,145.97,86.6689,7.58254
34,152.5,4,26.35,-24.5,-42.4352
29,127.49,0,-33.94,-24.687,-33.9787
9,27.56,9,101.19,23.1662,11.8037
5,7.45,28,386.45,42.6505,17.2319
18,72.06,36,506.27,25.8479,63.9757
32,142,16,206.45,-26.8973,-2.3532
33,147.39,24,326.02,81.9781,12.9841
16,62.5,13,161.22,-47.5315,-70.4682
37,167.09,31,431.54,50.3202,32.6783
27,117.15,27,371,-14.8629,-13.3826
39,177.09,32,446.24,-39.4972,-77.5175
19,77.23,32,446.4,78.4208,30.1029
37,167.17,9,101.27,-61.8862,-53.7968
14,52.12,28,386.22,-74.5891,-7.83963
23,97.01,31,431.28,34.1102,18.9076
0,-17.85,8,86.41,-66.5108,-32.4394
2,-7.78,20,266.32,57.6766,19.8596
11,37.27,4,26.09,8.86598,9.50759
20,82.24,30,416.05,-35.671,-32.1182
21,87.05,3,11.02,-41.6019,-44.6125
29,127.08,1,-18.66,-70.4682,-47.5314
19,77.07,16,206.16,-33.8614,-43.3406
35,157.05,8,86.16,22.3677,33.1615
14,52.17,8,86.53,7.81464,18.4101
35,157.11,0,-33.65,78.5672,8.25774
20,81.97,22,296.3,93.6948,25.1054
24,102.53,0,-33.82,-69.1125,-62.2291
10,32.39,37,521.55,-23.7522,-10.5751
11,37.17,9,101.08,-71.6056,-7.52604
24,102.2,7,71.33,40.2467,7.82316
8,22.5,18,236.19,97.1811,18.8901
4,2,24,326.53,-3.10859,-2.51728
33,147.04,26,355.99,15.1471,7.71783
31,137.46,12,146.49,-7.72741,-2.07055
34,152.05,15,191.3,19.0042,62.1598
20,82.02,14,176.47,-21.7267,-34.77
6,12.21,28,386.08,75.1754,27.3616
7,17.43,32,446.5,-19.846,-69.2108
38,172.29,30,415.99,33.9149,54.2751
35,157.27,31,431.07,-30.1921,-19.607
39,177.13,25,341.1,84.6935,14.9337
18,72.1,21,281.23,-3.84505,-1.10255
11,37.2,39,551.12,19.799,19.799
25,107.15,32,446.44,9.53382,18.7111
10,32.13,19,251.51,58.2746,30.9851
22,92.34,39,551.25,16.3492,14.7209
5,6.97,10,116.43,13.7415,44.9463
19,77.07,33,461.28,56.4211,64.905
31,137,32,446.52,-44.1474,-23.4736
35,157.3,21,281.51,-7.4565,-10.649
9,26.98,17,221.37,-30.8678,-72.7199
18,72.35,32,445.97,51.7771,37.6182
39,177.33,2,-3.91,-61.223,-39.7586
18,72.27,31,431.48,-2.9708,-0.417519
4,2.49,6,56.43,-0.766045,-0.642787
6,12.45,19,251.52,-58.1598,-40.7239
27,117.44,11,131.49,85.6783,15.1074
23,97.35,23,311.42,-51.6596,-24.0892
5,6.98,12,146.25,89.2672,22.2568
22,92.26,2,-3.83,-73.285,-57.2565
26,112.02,1,-18.78,31.2586,73.6404
37,167.17,29,401.25,-4.70229,-6.47213
16,62.44,19,251.16,21.8655,12.1202
2,-7.73,36,506.11,33.841,48.3299
4,2.3,9,101.55,-24.8536,-10.5497
11,37.16,13,161.29,-82.4567,-16.0279
27,117.11,18,236.05,-85.359,-10.4808
17,66.99,9,101.26,-3.09023,-5.143
3,-2.87,17,221.28,-44.0525,-54.4002
12,42.03,21,281.3,79.4236,27.3477
22,92.44,26,356.04,10.6921,5.44788
13,47.36,8,86.48,-71.891,-12.6763
13,47.14,37,521.32,-71.1334,-20.3971
21,87.38,27,371.15,29.9082,13.9464
6,12.02,36,506.44,17.119,5.5623
2,-7.51,0,-33.55,-39.3636,-45.2825
22,92.5,3,11.08,-20.6723,-10.0825
6,12.19,20,266.32,-54.7652,-72.6758
7,17.28,19,251.43,4.90176,7.54803
28,122.33,9,101.02,-2.86789,-4.09576
30,132.54,12,145.99,13.2115,10.6984
7,16.97,10,116.39,-72.0851,-64.9056
25,107.18,1,-18.58,86.2842,42.0836
3,-2.48,34,476,49.5157,54.9927
7,17.19,11,131.14,-38.0145,-15.3589
17,67.26,36,506.18,30.103,78.4207
26,112.28,6,56.53,-68.5159,-30.5052
35,157.08,10,116.33,-24.5593,-80.3296
39,176.97,34,476.3,-24.1481,-6.47047
9,26.99,2,-3.51,-39.1332,-29.4889
39,177.05,23,311.05,-52.9856,-23.5907
22,92.05,22,296.17,-50.5525,-67.0853
29,127.28,19,251.48,43.0668,51.3249
29,127.16,7,71.12,15.7682,41.0775
15,57.1,29,401.47,-50.7874,-35.5617
24,102.34,21,281.44,-43.9834,-70.388
39,177.48,3,10.98,-28.8015,-39.6418
29,127.37,30,416.05,-35.9009,-8.9511
